"route_id","shape_id","stop_id"
100001,11001003,538
100001,11001003,558
100001,11001003,575
100001,11001003,600
100001,11001003,605
100001,11001003,1500
100001,11001003,1510
100001,11001003,1530
100001,11001003,1610
100001,11001003,1690
100001,11001003,2010
100001,11001003,2320
100001,11001003,2330
100001,11001003,2360
100001,11001003,2370
100001,11001003,2390
100001,11001003,2400
100001,11001003,2410
100001,11001003,2420
100001,11001003,2430
100001,11001003,2440
100001,11001003,2450
100001,11001003,2460
100001,11001003,2470
100001,11001003,2480
100001,11001003,2490
100001,11001003,2500
100001,11001003,2510
100001,11001003,2520
100001,11001003,3600
100001,11001004,538
100001,11001004,558
100001,11001004,575
100001,11001004,600
100001,11001004,605
100001,11001004,1530
100001,11001004,1610
100001,11001004,1690
100001,11001004,2010
100001,11001004,2320
100001,11001004,2330
100001,11001004,2360
100001,11001004,2370
100001,11001004,2390
100001,11001004,2400
100001,11001004,2410
100001,11001004,2420
100001,11001004,2430
100001,11001004,2440
100001,11001004,2450
100001,11001004,2460
100001,11001004,2470
100001,11001004,2480
100001,11001004,2490
100001,11001004,2500
100001,11001004,2510
100001,11001004,2520
100001,20001002,2010
100001,20001002,2020
100001,20001002,2030
100001,20001002,2050
100001,20001002,2060
100001,20001002,2070
100001,20001002,2080
100001,20001002,2090
100001,20001002,2100
100001,20001002,2110
100001,20001002,2120
100001,20001002,2130
100001,20001002,2140
100001,20001002,2150
100001,20001002,2180
100001,20001002,2200
100001,20001002,2220
100001,20001002,2244
100001,20001002,2672
100001,20001005,400
100001,20001005,420
100001,20001005,430
100001,20001005,450
100001,20001005,480
100001,20001005,500
100001,20001005,515
100001,20001005,1471
100001,20001005,2010
100001,20001005,2020
100001,20001005,2030
100001,20001005,2050
100001,20001005,2060
100001,20001005,2070
100001,20001005,2080
100001,20001005,2090
100001,20001005,2100
100001,20001005,2110
100001,20001005,2120
100001,20001005,2130
100001,20001005,2140
100001,20001005,2150
100001,20001005,2180
100001,20001005,2200
100001,20001005,2220
100001,20001005,2244
100001,20001005,2672
100002,11010002,1085
100002,11010002,1110
100002,11010002,1120
100002,11010002,1180
100002,11010002,1190
100002,11010002,1195
100002,11010002,11132
100002,11010002,11370
100002,11010002,11570
100002,11010002,11590
100002,11010002,11600
100002,11010002,11610
100002,11010002,11620
100002,11010002,11630
100002,11010002,11640
100002,11010002,13460
100002,11010002,29268
100002,11010002,29270
100002,11010002,29273
100002,11010002,29277
100002,11010005,11370
100002,11010005,11570
100002,11010005,11590
100002,11010005,11600
100002,11010005,11610
100002,11010005,11620
100002,11010005,11630
100002,11010005,11640
100002,20010003,1085
100002,20010003,11100
100002,20010003,11370
100002,20010003,11390
100002,20010003,11400
100002,20010003,11410
100002,20010003,11430
100002,20010003,13441
100002,20010003,29261
100002,20010003,29262
100002,20010003,29266
100002,20010003,29301
100003,10101003,620
100003,10101003,640
100003,10101003,660
100003,10101003,691
100003,10101003,1190
100003,10101003,11130
100003,10101003,30635
100003,10101003,45301
100003,10101003,45320
100003,10101003,46466
100003,10101003,46468
100003,10101003,46472
100003,10101003,55938
100003,10101003,55939
100003,10101003,79520
100003,10101003,79530
100003,10101003,79540
100003,10101003,79555
100003,10101003,79560
100003,10101003,99252
100003,10101003,99254
100003,10101003,99264
100003,10101003,99267
100003,21101002,340
100003,21101002,361
100003,21101002,390
100003,21101002,1215
100003,21101002,1230
100003,21101002,45285
100003,21101002,45288
100003,21101002,45303
100003,21101002,46440
100003,21101002,46450
100003,21101002,59839
100003,21101002,59841
100003,21101002,79570
100003,21101002,79580
100003,21101002,79590
100003,21101002,79600
100003,21101002,79610
100003,21101002,99253
100003,21101002,99263
100003,21101002,99266
100003,21101002,99271
100004,11105005,45070
100004,11105005,45080
100004,11105005,45090
100004,11105005,45110
100004,11105005,45120
100004,11105005,45130
100004,11105005,45140
100004,11105005,45305
100004,11105005,46474
100004,11105005,54146
100004,11105005,54147
100004,11105005,54148
100004,11105005,54842
100004,11105005,54944
100004,11105005,54971
100004,11105005,56510
100004,11105005,56519
100004,11105005,56610
100004,11105005,56620
100004,11105005,56631
100004,11105005,56790
100004,11105005,56792
100004,20105004,45280
100004,20105004,45305
100004,20105004,46600
100004,20105004,46610
100004,20105004,46620
100004,20105004,46630
100004,20105004,46640
100004,20105004,46650
100004,20105004,46660
100004,20105004,46670
100004,20105004,46672
100004,20105004,46674
100004,20105004,54150
100004,20105004,54152
100004,20105004,54155
100004,20105004,54842
100004,20105004,54843
100004,20105004,54972
100004,20105004,54980
100004,20105004,54990
100004,20105004,56522
100005,10106002,844
100005,10106002,1500
100005,10106002,1510
100005,10106002,3600
100005,10106002,8080
100005,10106002,8401
100005,10106002,8429
100005,10106002,8440
100005,10106002,8450
100005,10106002,8460
100005,10106002,8485
100005,10106002,8494
100005,10106002,8510
100005,10106002,8530
100005,10106002,30140
100005,10106002,30160
100005,10106002,45320
100005,10106002,45340
100005,10106002,45350
100005,10106002,46464
100005,10106002,55000
100005,10106002,55010
100005,10106002,55020
100005,10106002,55030
100005,10106002,55040
100005,10106002,55050
100005,10106002,55060
100005,10106002,55062
100005,10106002,55064
100005,10106002,55066
100005,10106002,55068
100005,10106002,55130
100005,10106002,55140
100005,10106002,55150
100005,10106002,55160
100005,10106002,55170
100005,10106002,55180
100005,10106002,55190
100005,10106002,55200
100005,10106002,55210
100005,10106002,55220
100005,10106002,55472
100005,10106002,55474
100005,10106002,55583
100005,10106002,55589
100005,10106002,55590
100005,10106002,55593
100005,10106002,55651
100005,10106002,55661
100005,10106002,55681
100005,10106002,55702
100005,10106002,55711
100005,10106002,55729
100005,10106002,55735
100005,10106002,55771
100005,10106002,55780
100005,10106002,55790
100005,10106002,55802
100005,10106002,55812
100005,10106002,55831
100005,10106002,55851
100005,10106037,844
100005,10106037,1500
100005,10106037,1510
100005,10106037,3600
100005,10106037,8401
100005,10106037,8429
100005,10106037,8440
100005,10106037,8450
100005,10106037,8460
100005,10106037,8485
100005,10106037,8494
100005,10106037,8510
100005,10106037,8530
100005,10106037,30140
100005,10106037,30160
100005,10106037,34544
100005,10106037,55583
100005,10106037,55589
100005,10106037,55590
100005,10106037,55593
100005,10106037,55651
100005,10106037,55661
100005,10106037,55681
100005,10106037,55702
100005,10106037,55711
100005,10106037,55729
100005,10106037,55735
100005,10106037,55771
100005,10106037,55780
100005,10106037,55790
100005,10106037,55802
100005,10106037,55812
100005,10106037,55831
100005,10106037,55851
100005,21106108,1471
100005,21106108,1480
100005,21106108,1490
100005,21106108,8541
100005,21106108,8550
100005,21106108,8590
100005,21106108,8608
100005,21106108,8620
100005,21106108,8641
100005,21106108,8660
100005,21106108,8681
